#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202511091200  1375  1  4  6 -9 -9 -9 320  2.0   4.8   4.4  97.2  893.7 1012.0  0    0.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.9   4.6 -999 -999 -999 -999 -999 -999 0710
202511091200  1376  1  9  6 -9 -9 -9 230  0.0   3.5   2.2  91.2  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.5   3.2 -999 -999 -999 0005 -999 -999 0710
202511091200  1378  1  9  6 -9 -9 -9 360  2.0   3.4   1.9  89.9  983.9 1013.6  8    0.4  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.5   3.2 -999 -999 -999 0005 -999 -999 0710
202511091200  1380  1  4  6 -9 -9 -9 300  1.0   3.2   3.1  99.3  -99.0  -99.0 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   3.3   2.9 -999 -999 -999 -999 -999 -999 0710
202511091200  1383  1  4  6 -9 -9 -9 320  2.0   4.0   3.3  95.2  982.6 1014.0  8    0.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.0   2.3 -999 -999 -999 -999 -999 -999 0710
202511091200  1384  1  9  6 -9 60 -9 350  1.0   4.2   2.7  89.9  -99.0  -99.0  8    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 1200   4.2   4.1 -999 -999 -999 0005 -999 -999 0710
202511091200  1385  1  9  6 -9 -9 -9 320  2.0   2.8   1.9  93.8  986.9 1014.3  7    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 -999   2.8   2.6 -999 -999 -999 0005 -999 -999 0710
202511091200  1386  1  9  6 -9 -9 -9  -9 -9.0 -99.0 -99.0 -99.0  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 0005 -999 -999 -999
202511091200  1389  1  9  6 -9 -9 -9 300  1.0   2.5   2.0  96.5  983.6 1014.9  7    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 -999   2.6   2.3 -999 -999 -999 0005 -999 -999 0710
202511091200  1392  1  9  6 -9 -9 -9 300  1.0   3.7   2.8  93.8  991.1 1013.9  8    0.1  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.8   3.6 -999 -999 -999 0005 -999 -999 0710
202511091200  1393  1  9  6 -9 -9 -9 170  1.0   3.6   2.3  91.2  933.2 1013.2  7    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.6   2.3 -999 -999 -999 0005 -999 -999 0710
202511091200  1403  1  9  1  4 56  8 180  6.0  11.2  11.2 -99.0 1005.4 1012.2  8    0.2    0.2  1 10 22  8  6 -9 -9 1200  11.5  11.2 -999 -999 -999 0005 -999 -999 0710
202511091200  1406  1  4  6 -9 -9 -9 150  5.0  11.1  11.0  99.3 1009.8 1011.8  7    0.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999  11.1  10.8 -999 -999 -999 -999 -999 -999 0710
202511091200  1411  1  9  6 -9 -9 -9 160  5.0  11.0  10.2  94.8 1010.0 1012.7  8    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 -999  11.0  10.8 -999 -999 -999 0005 -999 -999 0710
202511091200  1412  1  9  6 -9 -9 -9 140  6.0  10.7   9.9  94.8 1009.9 1013.9  8    0.4    0.3  1 -9 -9 -9 -9 -9 -9 -999  10.7  10.4 -999 -999 -999 0005 -999 -999 0710
202511091200  1415  1  9  6  4 -9  8 150  3.0  11.3   9.9  91.1 1011.8 1012.9  8    0.3    0.2  1 -9 -9 -9 -9 -9 -9 1200  11.3  10.8 -999 -999 -999 0005 -999 -999 0710
